country,year,category,count
Italy,2014,Employment,53327
Italy,2014,Family,99051
Italy,2014,Other,27584
Italy,2015,Asylum/Protection,29615
Italy,2015,Education,22870
Italy,2015,Employment,17370
Italy,2015,Family,109328
Italy,2015,Other,29316
Italy,2016,Asylum/Protection,35405
Italy,2016,Education,16847
Italy,2016,Employment,9389
Italy,2016,Family,101269
Italy,2016,Other,94893
Italy,2017,Asylum/Protection,31795
Italy,2017,Education,17963
Italy,2017,Employment,8409
Italy,2017,Family,112607
Italy,2017,Other,117614
Italy,2018,Asylum/Protection,30670
Italy,2018,Education,21795
Italy,2018,Employment,13877
Italy,2018,Family,121930
Italy,2018,Other,81261
Italy,2019,Asylum/Protection,18375
Italy,2019,Education,20020
Italy,2019,Employment,11069
Italy,2019,Family,100939
Italy,2019,Other,106686
Italy,2020,Asylum/Protection,11585
Italy,2020,Education,8428
Italy,2020,Employment,10243
Italy,2020,Family,62274
Italy,2020,Other,62752
Italy,2021,Asylum/Protection,21805
Italy,2021,Education,17807
Italy,2021,Employment,50597
Italy,2021,Family,120520
Italy,2021,Other,85171
Italy,2022,Asylum/Protection,25680
Italy,2022,Education,25466
Italy,2022,Employment,66791
Italy,2022,Family,131275
Italy,2022,Other,114256
Italy,2023,Asylum/Protection,21890
Italy,2023,Education,27951
Italy,2023,Employment,38103
Italy,2023,Family,135734
Italy,2023,Other,187754
Italy,2024,Asylum/Protection,28185
Italy,2024,Education,20679
Italy,2024,Employment,39090
Italy,2024,Family,110093
Italy,2024,Other,176549
Latvia,2014,Asylum/Protection,25
Latvia,2014,Education,1050
Latvia,2014,Employment,971
Latvia,2014,Family,4903
Latvia,2014,Other,2933
Latvia,2015,Asylum/Protection,20
Latvia,2015,Education,1117
Latvia,2015,Employment,1639
Latvia,2015,Family,2553
Latvia,2015,Other,1048
Latvia,2016,Asylum/Protection,135
Latvia,2016,Education,1314
Latvia,2016,Employment,1736
Latvia,2016,Family,2197
Latvia,2016,Other,790
Latvia,2017,Asylum/Protection,265
Latvia,2017,Education,1603
Latvia,2017,Employment,2158
Latvia,2017,Family,2062
Latvia,2017,Other,824
Latvia,2018,Asylum/Protection,30
Latvia,2018,Education,2339
Latvia,2018,Employment,3575
Latvia,2018,Family,2238
Latvia,2018,Other,700
Latvia,2019,Asylum/Protection,35
Latvia,2019,Education,2577
Latvia,2019,Employment,4447
Latvia,2019,Family,2410
Latvia,2019,Other,709
Latvia,2020,Asylum/Protection,25
Latvia,2020,Education,1211
